,Postal Code,PostCode Latitude,PostCode Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,50667,50.940088623517646,6.957684918323491,Kölner Philharmonie,50.94053699108958,6.960486233290757,Concert Hall
1,50667,50.940088623517646,6.957684918323491,Museum Ludwig,50.940825825244836,6.959862858636432,Art Museum
2,50667,50.940088623517646,6.957684918323491,Sattgrün,50.938441,6.954965,Vegetarian / Vegan Restaurant
3,50667,50.940088623517646,6.957684918323491,Haferkater,50.94313170035459,6.958585866889334,Coffee Shop
4,50667,50.940088623517646,6.957684918323491,KOLUMBA Kunstmuseum,50.93853,6.9540844,Art Museum
5,50667,50.940088623517646,6.957684918323491,Craftbeer Corner,50.93722182832159,6.958927666244598,Beer Bar
6,50667,50.940088623517646,6.957684918323491,Excelsior Hotel Ernst,50.94222177714308,6.956282258033752,Hotel
7,50667,50.940088623517646,6.957684918323491,LEGO Store,50.9370912,6.9566049,Toy / Game Store
8,50667,50.940088623517646,6.957684918323491,Alter Markt,50.93862318375552,6.960069739472394,Plaza
9,50667,50.940088623517646,6.957684918323491,Espresso Perfetto,50.93885165545209,6.95397287607193,Coffee Shop
10,50667,50.940088623517646,6.957684918323491,Rheinufer Altstadt,50.93882659733972,6.962870027971316,Pedestrian Plaza
11,50667,50.940088623517646,6.957684918323491,Aussichtsplattform des Kölner Doms,50.940893375291104,6.957262500675635,Scenic Lookout
12,50667,50.940088623517646,6.957684918323491,Papa Joe's Jazzlokal,50.93788151408496,6.962241427839143,Jazz Club
13,50667,50.940088623517646,6.957684918323491,Apple Schildergasse,50.9365515,6.9558768,Electronics Store
14,50667,50.940088623517646,6.957684918323491,Wallraf-Richartz-Museum,50.937424892019685,6.958522869655499,Art Museum
15,50667,50.940088623517646,6.957684918323491,Domplatte,50.94112758554119,6.95704723915354,Plaza
16,50667,50.940088623517646,6.957684918323491,Rheingarten,50.93824346544839,6.962875024765755,Park
17,50667,50.940088623517646,6.957684918323491,Frites Belgique,50.93788010712525,6.956241667096905,Fast Food Restaurant
18,50667,50.940088623517646,6.957684918323491,Fischmarkt,50.938363402263114,6.962527371162799,Plaza
19,50667,50.940088623517646,6.957684918323491,Fanshop 1. FC Köln,50.93657886062308,6.953707132973588,Sporting Goods Shop
20,50667,50.940088623517646,6.957684918323491,Ice Cream United,50.93552,6.96018,Ice Cream Shop
21,50667,50.940088623517646,6.957684918323491,Heumarkt,50.93616079114913,6.960461139678955,Plaza
22,50667,50.940088623517646,6.957684918323491,Fitness First,50.93663914084407,6.951151192188263,Gym / Fitness Center
23,50667,50.940088623517646,6.957684918323491,Rheinpromenade,50.945449417756926,6.96364209043918,Pedestrian Plaza
24,50667,50.940088623517646,6.957684918323491,Dorint Hotel am Heumarkt Köln,50.93540765903893,6.957728565038355,Hotel
25,50667,50.940088623517646,6.957684918323491,Rheinboulevard,50.93858638825626,6.96838911741181,Scenic Lookout
26,50667,50.940088623517646,6.957684918323491,Holmes Place,50.936252086492686,6.957538213927753,Gym / Fitness Center
27,50667,50.940088623517646,6.957684918323491,English Shop,50.93592798918242,6.954414449542475,Grocery Store
28,50667,50.940088623517646,6.957684918323491,REWE Richrath,50.93852,6.950774,Supermarket
29,50667,50.940088623517646,6.957684918323491,Beirut,50.93692531018896,6.962338041150421,Lebanese Restaurant
30,50667,50.940088623517646,6.957684918323491,Ortloff,50.93723015153185,6.94878690084509,Paper / Office Supplies Store
31,50667,50.940088623517646,6.957684918323491,Grand Épi,50.938915,6.9516163,Bakery
32,50667,50.940088623517646,6.957684918323491,Buchhandlung Walther König,50.938571778249205,6.94490239016686,Bookstore
33,50667,50.940088623517646,6.957684918323491,Treppen an der Domplatte,50.942138857536065,6.957771692471733,Pedestrian Plaza
34,50667,50.940088623517646,6.957684918323491,Hernando Cortéz,50.937829414592116,6.945596899999185,Chocolate Shop
35,50667,50.940088623517646,6.957684918323491,Hyatt Regency Cologne,50.94045228502279,6.9691554077887155,Hotel
36,50667,50.940088623517646,6.957684918323491,Pullman Hotel Cologne,50.9406361,6.9457735,Hotel
37,50667,50.940088623517646,6.957684918323491,Globetrotter,50.93807623071653,6.948012433318195,Outdoor Supply Store
38,50667,50.940088623517646,6.957684918323491,Deutzer Rheinufer,50.935176897255666,6.969451904296875,Pedestrian Plaza
39,50667,50.940088623517646,6.957684918323491,Bäckerei Balkhausen,50.93831943599608,6.945198722483507,Bakery
40,50667,50.940088623517646,6.957684918323491,Anya Imbiss,50.9439785068747,6.944417559164652,Snack Place
41,50667,50.940088623517646,6.957684918323491,Motel One Köln-Neumarkt,50.935497715164054,6.951084067092539,Hotel
42,50667,50.940088623517646,6.957684918323491,25Hours Hotel The Circle,50.942225920300785,6.943312383922603,Hotel
43,50667,50.940088623517646,6.957684918323491,Gloria,50.93737406585075,6.945062293030745,Theater
44,50667,50.940088623517646,6.957684918323491,Peek & Cloppenburg,50.93592414990489,6.952629089355469,Clothing Store
45,50667,50.940088623517646,6.957684918323491,Kittichai,50.93697455381497,6.950086765289677,Thai Restaurant
46,50667,50.940088623517646,6.957684918323491,Momotaro,50.937724219028404,6.942386043087114,Sushi Restaurant
47,50667,50.940088623517646,6.957684918323491,Freddy Schilling,50.94988,6.9567795,Burger Joint
48,50667,50.940088623517646,6.957684918323491,Hommage,50.940584047879895,6.941621026672092,Café
49,50667,50.940088623517646,6.957684918323491,SEIBERTS Classic Bar & Liquid Kitchen,50.938784289029456,6.94072109124996,Cocktail Bar
50,50667,50.940088623517646,6.957684918323491,Gaststätte Lommerzheim,50.93866,6.973919,Gastropub
